date,region,sst_celsius,sst_anomaly,dhw,bleaching_pct,alert_level,bleaching_threshold
2005-10-01,Great Barrier Reef,24.74,0.04,0.0,1.9,0.0,28.0
2005-11-01,Great Barrier Reef,24.66,-0.29,0.0,0.5,0.0,28.0
2005-12-01,Great Barrier Reef,25.48,-0.12,0.0,1.4,0.0,28.0
2006-01-01,Great Barrier Reef,26.21,-0.29,0.0,3.1,0.0,28.0
2006-02-01,Great Barrier Reef,27.8,0.4,0.0,0.5,0.0,28.0
2006-03-01,Great Barrier Reef,28.53,0.47,1.7,7.2,0.5,28.0
2006-04-01,Great Barrier Reef,28.62,0.32,1.8,5.1,0.5,28.0
2006-05-01,Great Barrier Reef,27.18,-0.88,0.0,0.7,0.0,28.0
2006-06-01,Great Barrier Reef,27.12,-0.28,0.0,0.0,0.0,28.0
2006-07-01,Great Barrier Reef,26.46,-0.04,0.0,2.4,0.0,28.0
2006-08-01,Great Barrier Reef,25.26,-0.34,0.0,1.0,0.0,28.0
2006-09-01,Great Barrier Reef,24.74,-0.2,0.0,1.2,0.0,28.0
2006-10-01,Great Barrier Reef,24.61,-0.09,0.0,0.6,0.0,28.0
2006-11-01,Great Barrier Reef,25.07,0.12,0.0,2.6,0.0,28.0
2006-12-01,Great Barrier Reef,25.32,-0.28,0.0,0.0,0.0,28.0
2007-01-01,Great Barrier Reef,26.56,0.06,0.0,1.3,0.0,28.0
2007-02-01,Great Barrier Reef,27.32,-0.08,0.0,0.5,0.0,28.0
2007-03-01,Great Barrier Reef,27.99,-0.07,0.0,1.4,0.0,28.0
2007-04-01,Great Barrier Reef,28.2,-0.1,1.0,4.5,0.5,28.0
2007-05-01,Great Barrier Reef,28.41,0.35,1.9,1.7,0.5,28.0
2007-06-01,Great Barrier Reef,27.34,-0.06,0.0,1.6,0.0,28.0
2007-07-01,Great Barrier Reef,26.6,0.1,0.0,2.3,0.0,28.0
2007-08-01,Great Barrier Reef,25.53,-0.07,0.0,0.8,0.0,28.0
2007-09-01,Great Barrier Reef,24.98,0.04,0.0,1.8,0.0,28.0
2007-10-01,Great Barrier Reef,25.05,0.35,0.0,1.0,0.0,28.0
2007-11-01,Great Barrier Reef,25.25,0.31,0.0,1.3,0.0,28.0
2007-12-01,Great Barrier Reef,25.67,0.07,0.0,1.6,0.0,28.0
2008-01-01,Great Barrier Reef,26.37,-0.13,0.0,0.0,0.0,28.0
2008-02-01,Great Barrier Reef,27.16,-0.24,0.0,1.8,0.0,28.0
2008-03-01,Great Barrier Reef,28.37,0.31,1.7,5.2,0.5,28.0
2008-04-01,Great Barrier Reef,28.15,-0.15,0.6,0.3,0.0,28.0
2008-05-01,Great Barrier Reef,28.47,0.41,1.8,1.3,0.5,28.0
2008-06-01,Great Barrier Reef,27.42,0.02,0.0,0.4,0.0,28.0
2008-07-01,Great Barrier Reef,26.37,-0.13,0.0,1.2,0.0,28.0
2008-08-01,Great Barrier Reef,25.57,-0.03,0.0,1.2,0.0,28.0
2008-09-01,Great Barrier Reef,24.63,-0.31,0.0,0.3,0.0,28.0
2008-10-01,Great Barrier Reef,24.76,0.06,0.0,2.5,0.0,28.0
2008-11-01,Great Barrier Reef,25.32,0.38,0.0,1.0,0.0,28.0
2008-12-01,Great Barrier Reef,25.42,-0.18,0.0,0.7,0.0,28.0
2009-01-01,Great Barrier Reef,26.73,0.23,0.0,1.5,0.0,28.0
2009-02-01,Great Barrier Reef,27.99,0.59,0.0,1.4,0.0,28.0
2009-03-01,Great Barrier Reef,28.4,0.34,1.4,5.4,0.5,28.0
2009-04-01,Great Barrier Reef,28.44,0.14,1.8,1.6,0.5,28.0
2009-05-01,Great Barrier Reef,28.2,0.14,0.9,2.5,0.0,28.0
2009-06-01,Great Barrier Reef,27.82,0.42,0.0,0.2,0.0,28.0
2009-07-01,Great Barrier Reef,26.9,0.4,0.0,3.2,0.0,28.0
2009-08-01,Great Barrier Reef,25.49,-0.11,0.0,0.4,0.0,28.0
2009-09-01,Great Barrier Reef,24.44,-0.5,0.0,0.2,0.0,28.0
2009-10-01,Great Barrier Reef,24.88,0.18,0.0,2.9,0.0,28.0
2009-11-01,Great Barrier Reef,25.36,0.42,0.0,0.1,0.0,28.0
2009-12-01,Great Barrier Reef,25.88,0.28,0.0,2.8,0.0,28.0
2010-01-01,Great Barrier Reef,27.0,0.5,0.0,0.0,0.0,28.0
2010-02-01,Great Barrier Reef,27.96,0.56,0.0,2.2,0.0,28.0
2010-03-01,Great Barrier Reef,27.73,-0.33,0.0,1.0,0.0,28.0
2010-04-01,Great Barrier Reef,28.46,0.16,1.6,7.9,0.5,28.0
2010-05-01,Great Barrier Reef,27.89,-0.17,0.0,1.1,0.0,28.0
2010-06-01,Great Barrier Reef,28.3,0.9,1.5,0.0,0.5,28.0
2010-07-01,Great Barrier Reef,26.79,0.29,0.0,1.3,0.0,28.0
2010-08-01,Great Barrier Reef,26.13,0.53,0.0,1.1,0.0,28.0
2010-09-01,Great Barrier Reef,26.04,1.1,0.0,3.1,0.0,28.0
2010-10-01,Great Barrier Reef,25.98,1.28,0.0,2.0,0.0,28.0
2010-11-01,Great Barrier Reef,25.28,0.34,0.0,0.0,0.0,28.0
2010-12-01,Great Barrier Reef,25.96,0.36,0.0,0.0,0.0,28.0
2011-01-01,Great Barrier Reef,26.31,-0.19,0.0,0.7,0.0,28.0
2011-02-01,Great Barrier Reef,27.78,0.38,0.0,1.1,0.0,28.0
2011-03-01,Great Barrier Reef,28.71,0.65,1.7,0.0,0.5,28.0
2011-04-01,Great Barrier Reef,28.45,0.15,2.0,5.8,0.5,28.0
2011-05-01,Great Barrier Reef,27.6,-0.46,0.0,0.0,0.0,28.0
2011-06-01,Great Barrier Reef,27.77,0.37,0.0,0.1,0.0,28.0
2011-07-01,Great Barrier Reef,26.51,0.01,0.0,0.9,0.0,28.0
2011-08-01,Great Barrier Reef,26.05,0.45,0.0,1.5,0.0,28.0
2011-09-01,Great Barrier Reef,24.95,0.01,0.0,0.9,0.0,28.0
2011-10-01,Great Barrier Reef,24.55,-0.15,0.0,0.0,0.0,28.0
2011-11-01,Great Barrier Reef,25.7,0.75,0.0,0.3,0.0,28.0
2011-12-01,Great Barrier Reef,25.83,0.23,0.0,0.8,0.0,28.0
2012-01-01,Great Barrier Reef,26.86,0.36,0.0,0.5,0.0,28.0
2012-02-01,Great Barrier Reef,27.41,0.01,0.0,0.0,0.0,28.0
2012-03-01,Great Barrier Reef,27.78,-0.27,0.0,2.6,0.0,28.0
2012-04-01,Great Barrier Reef,28.41,0.11,1.9,7.3,0.5,28.0
2012-05-01,Great Barrier Reef,29.16,1.1,6.2,45.0,1.0,28.0
2012-06-01,Great Barrier Reef,27.29,-0.11,0.0,1.2,0.0,28.0
2012-07-01,Great Barrier Reef,26.45,-0.05,0.0,0.4,0.0,28.0
2012-08-01,Great Barrier Reef,25.46,-0.14,0.0,1.9,0.0,28.0
2012-09-01,Great Barrier Reef,25.12,0.18,0.0,1.1,0.0,28.0
2012-10-01,Great Barrier Reef,24.62,-0.08,0.0,1.5,0.0,28.0
2012-11-01,Great Barrier Reef,24.81,-0.13,0.0,0.1,0.0,28.0
2012-12-01,Great Barrier Reef,25.37,-0.23,0.0,2.9,0.0,28.0
2013-01-01,Great Barrier Reef,26.28,-0.22,0.0,0.3,0.0,28.0
2013-02-01,Great Barrier Reef,27.45,0.05,0.0,0.1,0.0,28.0
2013-03-01,Great Barrier Reef,28.27,0.21,0.8,1.3,0.0,28.0
2013-04-01,Great Barrier Reef,28.48,0.18,1.8,0.8,0.5,28.0
2013-05-01,Great Barrier Reef,28.08,0.02,0.4,1.5,0.0,28.0
2013-06-01,Great Barrier Reef,27.3,-0.1,0.0,1.8,0.0,28.0
2013-07-01,Great Barrier Reef,26.19,-0.31,0.0,0.3,0.0,28.0
2013-08-01,Great Barrier Reef,25.97,0.37,0.0,0.0,0.0,28.0
2013-09-01,Great Barrier Reef,24.65,-0.29,0.0,1.3,0.0,28.0
2013-10-01,Great Barrier Reef,24.62,-0.08,0.0,0.0,0.0,28.0
2013-11-01,Great Barrier Reef,25.12,0.18,0.0,0.3,0.0,28.0
2013-12-01,Great Barrier Reef,25.81,0.21,0.0,0.6,0.0,28.0
2014-01-01,Great Barrier Reef,27.01,0.51,0.0,1.8,0.0,28.0
2014-02-01,Great Barrier Reef,27.27,-0.13,0.0,2.4,0.0,28.0
2014-03-01,Great Barrier Reef,27.53,-0.53,0.0,1.6,0.0,28.0
2014-04-01,Great Barrier Reef,28.45,0.15,2.0,3.0,0.5,28.0
2014-05-01,Great Barrier Reef,28.29,0.24,1.1,9.2,0.5,28.0
2014-06-01,Great Barrier Reef,27.69,0.29,0.0,0.6,0.0,28.0
2014-07-01,Great Barrier Reef,26.56,0.06,0.0,1.4,0.0,28.0
2014-08-01,Great Barrier Reef,25.68,0.08,0.0,3.1,0.0,28.0
2014-09-01,Great Barrier Reef,25.41,0.47,0.0,2.2,0.0,28.0
2014-10-01,Great Barrier Reef,24.79,0.09,0.0,0.0,0.0,28.0
2014-11-01,Great Barrier Reef,24.59,-0.35,0.0,1.0,0.0,28.0
2014-12-01,Great Barrier Reef,26.31,0.71,0.0,0.8,0.0,28.0
2015-01-01,Great Barrier Reef,27.97,1.47,0.0,1.2,0.0,28.0
2015-02-01,Great Barrier Reef,28.86,1.46,1.9,11.4,0.5,28.0
2015-03-01,Great Barrier Reef,29.39,1.33,4.9,44.3,1.0,28.0
2015-04-01,Great Barrier Reef,30.21,1.91,9.3,79.7,2.0,28.0
2015-05-01,Great Barrier Reef,29.15,1.09,3.4,14.4,0.5,28.0
2015-06-01,Great Barrier Reef,27.37,-0.03,0.0,0.5,0.0,28.0
2015-07-01,Great Barrier Reef,26.87,0.37,0.0,2.0,0.0,28.0
2015-08-01,Great Barrier Reef,25.67,0.07,0.0,0.0,0.0,28.0
2015-09-01,Great Barrier Reef,25.03,0.09,0.0,1.8,0.0,28.0
2015-10-01,Great Barrier Reef,24.65,-0.05,0.0,2.4,0.0,28.0
2015-11-01,Great Barrier Reef,26.29,1.35,0.0,0.2,0.0,28.0
2015-12-01,Great Barrier Reef,26.45,0.85,0.0,2.5,0.0,28.0
2016-01-01,Great Barrier Reef,27.94,1.44,0.0,1.3,0.0,28.0
2016-02-01,Great Barrier Reef,28.3,0.9,2.1,6.9,0.5,28.0
2016-03-01,Great Barrier Reef,29.33,1.27,6.5,51.3,1.0,28.0
2016-04-01,Great Barrier Reef,29.61,1.31,4.9,43.3,1.0,28.0
2016-05-01,Great Barrier Reef,29.86,1.8,10.5,90.0,2.0,28.0
2016-06-01,Great Barrier Reef,27.49,0.09,0.0,0.9,0.0,28.0
2016-07-01,Great Barrier Reef,26.76,0.26,0.0,0.0,0.0,28.0
2016-08-01,Great Barrier Reef,26.3,0.7,0.0,0.6,0.0,28.0
2016-09-01,Great Barrier Reef,24.88,-0.06,0.0,1.8,0.0,28.0
2016-10-01,Great Barrier Reef,24.96,0.26,0.0,0.0,0.0,28.0
2016-11-01,Great Barrier Reef,26.08,1.14,0.0,0.7,0.0,28.0
2016-12-01,Great Barrier Reef,26.39,0.79,0.0,0.7,0.0,28.0
2017-01-01,Great Barrier Reef,25.95,-0.55,0.0,0.8,0.0,28.0
2017-02-01,Great Barrier Reef,27.86,0.46,0.0,2.1,0.0,28.0
2017-03-01,Great Barrier Reef,28.23,0.17,0.6,3.6,0.0,28.0
2017-04-01,Great Barrier Reef,28.57,0.27,2.3,6.8,0.5,28.0
2017-05-01,Great Barrier Reef,28.37,0.31,1.4,1.4,0.5,28.0
2017-06-01,Great Barrier Reef,27.49,0.09,0.0,0.5,0.0,28.0
2017-07-01,Great Barrier Reef,26.54,0.04,0.0,0.7,0.0,28.0
2017-08-01,Great Barrier Reef,26.31,0.71,0.0,2.1,0.0,28.0
2017-09-01,Great Barrier Reef,25.57,0.63,0.0,0.7,0.0,28.0
2017-10-01,Great Barrier Reef,24.84,0.14,0.0,0.2,0.0,28.0
2017-11-01,Great Barrier Reef,24.86,-0.08,0.0,1.9,0.0,28.0
2017-12-01,Great Barrier Reef,26.24,0.64,0.0,0.0,0.0,28.0
2018-01-01,Great Barrier Reef,26.61,0.11,0.0,0.0,0.0,28.0
2018-02-01,Great Barrier Reef,27.88,0.48,0.0,0.6,0.0,28.0
2018-03-01,Great Barrier Reef,28.54,0.48,2.5,5.6,0.5,28.0
2018-04-01,Great Barrier Reef,28.92,0.62,2.5,10.5,0.5,28.0
2018-05-01,Great Barrier Reef,28.51,0.45,1.8,7.1,0.5,28.0
2018-06-01,Great Barrier Reef,27.29,-0.11,0.0,0.8,0.0,28.0
2018-07-01,Great Barrier Reef,26.61,0.11,0.0,0.3,0.0,28.0
2018-08-01,Great Barrier Reef,25.45,-0.15,0.0,1.6,0.0,28.0
2018-09-01,Great Barrier Reef,24.83,-0.11,0.0,0.0,0.0,28.0
2018-10-01,Great Barrier Reef,25.48,0.78,0.0,0.9,0.0,28.0
2018-11-01,Great Barrier Reef,25.05,0.11,0.0,1.0,0.0,28.0
2018-12-01,Great Barrier Reef,26.2,0.6,0.0,1.2,0.0,28.0
2019-01-01,Great Barrier Reef,26.68,0.18,0.0,1.3,0.0,28.0
2019-02-01,Great Barrier Reef,27.17,-0.23,0.0,1.7,0.0,28.0
2019-03-01,Great Barrier Reef,28.4,0.34,1.5,4.6,0.5,28.0
2019-04-01,Great Barrier Reef,28.69,0.39,2.3,3.0,0.5,28.0
2019-05-01,Great Barrier Reef,28.4,0.34,1.1,5.5,0.5,28.0
2019-06-01,Great Barrier Reef,27.17,-0.23,0.0,1.5,0.0,28.0
2019-07-01,Great Barrier Reef,26.86,0.36,0.0,2.7,0.0,28.0
2019-08-01,Great Barrier Reef,26.19,0.59,0.0,0.0,0.0,28.0
2019-09-01,Great Barrier Reef,25.04,0.1,0.0,1.5,0.0,28.0
2019-10-01,Great Barrier Reef,24.77,0.07,0.0,0.2,0.0,28.0
2019-11-01,Great Barrier Reef,25.04,0.1,0.0,0.1,0.0,28.0
2019-12-01,Great Barrier Reef,25.48,-0.12,0.0,2.1,0.0,28.0
2020-01-01,Great Barrier Reef,26.52,0.02,0.0,1.5,0.0,28.0
2020-02-01,Great Barrier Reef,27.76,0.36,0.0,1.7,0.0,28.0
2020-03-01,Great Barrier Reef,28.19,0.13,0.8,3.6,0.0,28.0
2020-04-01,Great Barrier Reef,28.57,0.27,3.1,5.7,0.5,28.0
2020-05-01,Great Barrier Reef,28.35,0.29,2.1,3.3,0.5,28.0
2020-06-01,Great Barrier Reef,28.24,0.84,1.2,0.7,0.5,28.0
2020-07-01,Great Barrier Reef,26.99,0.49,0.0,1.6,0.0,28.0
2020-08-01,Great Barrier Reef,25.43,-0.17,0.0,0.8,0.0,28.0
2020-09-01,Great Barrier Reef,25.22,0.28,0.0,1.2,0.0,28.0
2020-10-01,Great Barrier Reef,24.6,-0.1,0.0,1.6,0.0,28.0
2020-11-01,Great Barrier Reef,25.41,0.47,0.0,1.8,0.0,28.0
2020-12-01,Great Barrier Reef,26.04,0.44,0.0,0.0,0.0,28.0
2021-01-01,Great Barrier Reef,26.94,0.44,0.0,1.3,0.0,28.0
2021-02-01,Great Barrier Reef,27.33,-0.07,0.0,2.1,0.0,28.0
2021-03-01,Great Barrier Reef,28.36,0.3,1.7,5.4,0.5,28.0
2021-04-01,Great Barrier Reef,28.62,0.32,3.2,7.0,0.5,28.0
2021-05-01,Great Barrier Reef,28.4,0.34,1.4,2.0,0.5,28.0
2021-06-01,Great Barrier Reef,27.62,0.22,0.0,0.5,0.0,28.0
2021-07-01,Great Barrier Reef,27.19,0.69,0.0,0.8,0.0,28.0
2021-08-01,Great Barrier Reef,25.78,0.18,0.0,1.2,0.0,28.0
2021-09-01,Great Barrier Reef,25.57,0.62,0.0,1.3,0.0,28.0
2021-10-01,Great Barrier Reef,25.28,0.58,0.0,2.1,0.0,28.0
2021-11-01,Great Barrier Reef,25.1,0.16,0.0,3.3,0.0,28.0
2021-12-01,Great Barrier Reef,25.81,0.21,0.0,2.5,0.0,28.0
2022-01-01,Great Barrier Reef,27.3,0.8,0.0,0.6,0.0,28.0
2022-02-01,Great Barrier Reef,27.65,0.25,0.0,0.1,0.0,28.0
2022-03-01,Great Barrier Reef,28.09,0.03,0.3,1.0,0.0,28.0
2022-04-01,Great Barrier Reef,28.7,0.4,4.1,27.5,1.0,28.0
2022-05-01,Great Barrier Reef,28.68,0.63,2.6,7.4,0.5,28.0
2022-06-01,Great Barrier Reef,27.93,0.53,0.0,1.4,0.0,28.0
2022-07-01,Great Barrier Reef,26.88,0.38,0.0,1.3,0.0,28.0
2022-08-01,Great Barrier Reef,26.67,1.07,0.0,0.5,0.0,28.0
2022-09-01,Great Barrier Reef,25.08,0.14,0.0,0.4,0.0,28.0
2022-10-01,Great Barrier Reef,25.39,0.69,0.0,0.4,0.0,28.0
2022-11-01,Great Barrier Reef,25.02,0.08,0.0,0.4,0.0,28.0
2022-12-01,Great Barrier Reef,26.12,0.52,0.0,0.0,0.0,28.0
2023-01-01,Great Barrier Reef,27.85,1.35,0.0,0.4,0.0,28.0
2023-02-01,Great Barrier Reef,28.28,0.88,1.2,5.3,0.5,28.0
2023-03-01,Great Barrier Reef,29.4,1.34,9.0,74.2,2.0,28.0
2023-04-01,Great Barrier Reef,29.36,1.06,3.2,5.9,0.5,28.0
2023-05-01,Great Barrier Reef,29.45,1.39,8.9,70.6,2.0,28.0
2023-06-01,Great Barrier Reef,28.91,1.51,3.6,16.8,0.5,28.0
2023-07-01,Great Barrier Reef,28.66,2.16,2.2,4.2,0.5,28.0
2023-08-01,Great Barrier Reef,27.21,1.61,0.0,2.8,0.0,28.0
2023-09-01,Great Barrier Reef,26.26,1.32,0.0,1.6,0.0,28.0
2023-10-01,Great Barrier Reef,26.03,1.33,0.0,1.5,0.0,28.0
2023-11-01,Great Barrier Reef,26.15,1.21,0.0,2.4,0.0,28.0
2023-12-01,Great Barrier Reef,26.64,1.04,0.0,1.1,0.0,28.0
2024-01-01,Great Barrier Reef,27.76,1.26,0.0,1.4,0.0,28.0
2024-02-01,Great Barrier Reef,28.29,0.89,1.2,9.9,0.5,28.0
2024-03-01,Great Barrier Reef,29.28,1.22,5.2,30.0,1.0,28.0
2024-04-01,Great Barrier Reef,29.83,1.53,8.8,90.0,2.0,28.0
2024-05-01,Great Barrier Reef,29.39,1.33,5.9,46.5,1.0,28.0
2024-06-01,Great Barrier Reef,29.33,1.93,5.2,43.1,1.0,28.0
2024-07-01,Great Barrier Reef,28.1,1.6,0.4,0.6,0.0,28.0
2024-08-01,Great Barrier Reef,26.97,1.37,0.0,0.0,0.0,28.0
2024-09-01,Great Barrier Reef,26.14,1.2,0.0,2.2,0.0,28.0
2024-10-01,Great Barrier Reef,25.25,0.55,0.0,1.4,0.0,28.0
2024-11-01,Great Barrier Reef,26.31,1.37,0.0,0.4,0.0,28.0
2024-12-01,Great Barrier Reef,27.02,1.42,0.0,0.0,0.0,28.0
2025-01-01,Great Barrier Reef,27.41,0.91,0.0,0.0,0.0,28.0
2025-02-01,Great Barrier Reef,28.39,0.99,1.7,2.2,0.5,28.0
2025-03-01,Great Barrier Reef,28.45,0.39,2.3,10.1,0.5,28.0
2025-04-01,Great Barrier Reef,29.05,0.75,6.5,38.9,1.0,28.0
2025-05-01,Great Barrier Reef,28.38,0.32,1.2,3.3,0.5,28.0
2025-06-01,Great Barrier Reef,28.25,0.85,0.9,1.4,0.0,28.0
2025-07-01,Great Barrier Reef,26.9,0.4,0.0,0.9,0.0,28.0
2025-08-01,Great Barrier Reef,26.71,1.11,0.0,1.5,0.0,28.0
2025-09-01,Great Barrier Reef,25.89,0.95,0.0,1.6,0.0,28.0
2025-10-01,Great Barrier Reef,25.87,1.17,0.0,1.7,0.0,28.0
2025-11-01,Great Barrier Reef,25.69,0.75,0.0,0.3,0.0,28.0
2025-12-01,Great Barrier Reef,26.92,1.32,0.0,0.0,0.0,28.0
2000-01-01,Coral Triangle,28.54,0.04,0.0,1.8,0.0,30.0
2000-02-01,Coral Triangle,27.4,-0.2,0.0,0.0,0.0,30.0
2000-03-01,Coral Triangle,26.81,-0.14,0.0,0.0,0.0,30.0
2000-04-01,Coral Triangle,26.93,0.23,0.0,1.4,0.0,30.0
2000-05-01,Coral Triangle,26.65,-0.29,0.0,1.0,0.0,30.0
2000-06-01,Coral Triangle,27.25,-0.35,0.0,1.9,0.0,30.0
2000-07-01,Coral Triangle,28.43,-0.07,0.0,1.2,0.0,30.0
2000-08-01,Coral Triangle,28.79,-0.61,0.0,0.3,0.0,30.0
2000-09-01,Coral Triangle,29.76,-0.3,0.0,2.8,0.0,30.0
2000-10-01,Coral Triangle,30.49,0.19,1.6,7.8,0.5,30.0
2000-11-01,Coral Triangle,30.48,0.42,2.4,7.6,0.5,30.0
2000-12-01,Coral Triangle,29.21,-0.19,0.0,1.4,0.0,30.0
2001-01-01,Coral Triangle,28.78,0.28,0.0,2.0,0.0,30.0
2001-02-01,Coral Triangle,27.45,-0.15,0.0,1.2,0.0,30.0
2001-03-01,Coral Triangle,27.58,0.64,0.0,2.7,0.0,30.0
2001-04-01,Coral Triangle,26.77,0.07,0.0,0.5,0.0,30.0
2001-05-01,Coral Triangle,26.86,-0.08,0.0,1.5,0.0,30.0
2001-06-01,Coral Triangle,27.44,-0.16,0.0,3.1,0.0,30.0
2001-07-01,Coral Triangle,29.03,0.53,0.0,1.0,0.0,30.0
2001-08-01,Coral Triangle,29.45,0.05,0.0,0.0,0.0,30.0
2001-09-01,Coral Triangle,30.0,-0.06,0.0,1.4,0.0,30.0
2001-10-01,Coral Triangle,30.51,0.21,1.7,13.1,0.5,30.0
2001-11-01,Coral Triangle,29.71,-0.35,0.0,1.2,0.0,30.0
2001-12-01,Coral Triangle,29.73,0.33,0.0,0.5,0.0,30.0
2002-01-01,Coral Triangle,28.85,0.35,0.0,0.8,0.0,30.0
2002-02-01,Coral Triangle,27.9,0.3,0.0,0.0,0.0,30.0
